Complexity,Loss,Equation
1,1.62,"x1"
3,0.821,"x5 - x5"
5,0.8164,"-0.03204"
6,0.7256,"x0 / (x0 - exp(x0))"
7,0.7217,"x0 / (x4 - exp(exp(x4)))"
8,0.705,"exp((x0 * x4) - exp(exp(x4)))"
9,0.611,"x0 / ((x0 * x4) - exp(exp(x4)))"
10,0.589,"x0 / ((exp(x4) - x0) - exp(exp(x4)))"
12,0.586,"x0 / (-0.838 - (x0 + exp(x4)))"
13,0.5483,"((x0 * x4) - x0) / (exp(x0) + exp(x5 - x1))"
15,0.4998,"(-0.3694 - x0) / ((x4 * exp(x4)) + exp(x0))"
17,0.456,"(-0.5483 - x0) / ((x0 + x0) + 1.257)"
19,0.4465,"(0.03049 / (x0 + 0.6226)) + -0.5225"
20,0.4119,"((x0 / exp(x3)) + x4) * (-0.01616 / (0.6206 + x0))"
21,0.3914,"(-0.01045 / (x0 + 0.6167)) * (((x3 + x0) + x0) + x4)"
23,0.3806,"(-0.00828 / (x0 + 0.616)) * (((x3 + x0) + x0) + (x0 + x4))"
25,0.325,"(-0.5483 - ((x4 * 0.03604) + x0)) / ((x0 + x0) + 1.257)"
26,0.3245,"((-0.559 - x0) - (0.02715 * (x3 + x4))) / (x0 + exp(-0.439))"
27,0.2827,"((-0.516 - x0) - ((x4 + x3) * 0.0594)) / ((1.289 + x0) + x0)"
28,0.2434,"((-0.5605 - x0) - ((x3 + x4) * 0.02399)) / (x0 + exp(x0 * 0.7407))"
29,0.2389,"(((x3 + -2.453) + x4) * (-0.01506 / (x0 + 0.625))) - 0.558"
33,0.2384,"((-0.01613 / (0.625 + x0)) * ((x4 + -2.295) - (x3 * x0))) - log(exp(0.5537))"
34,0.2373,"(((-0.559 - x0) - (x4 * 0.02847)) - (x3 * 0.0211)) / (exp(x0 * 0.738) + x0)"
35,0.2231,"(((-2.35 + x3) + x4) * (-0.016 / (x0 + 0.6255))) - (exp(x5) / (exp(x5) + 0.6895))"
37,0.2167,"((x4 + (x3 + -2.465)) * (-0.01514 / (x0 + 0.6255))) - ((x5 * 0.1575) + 0.532)"
39,0.202,"((x4 + (x3 + -2.465)) * (-0.015144 / (x0 + 0.6255))) - (((x5 - x1) * 0.1335) + 0.5527)"
45,0.1981,"(((x4 + -2.283) + (x3 * 0.7773)) * (-0.01648 / (x0 + 0.6255))) - (((x5 - x1) * 0.136) + 0.553)"
64,0.198,"(((0.7847 * x3) + (-2.283 + x4)) * ((-1.953 * 0.00844) / (0.6255 + x0))) - (log(-0.911 - -2.666) + ((0.0495 * 2.82) * (x5 - x1)))"
