gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.919480507773465,0.8394489935454146,-0.32598956423986636,2.3223193064473733e-06,3.560614222430467e-07,2.3223193064473733e-06,3.560614222430467e-07,2.4147992593394985e-06,2.635814693509214e-07,2.5871704864805144e-06,9.121024220990552e-08,2.5296620696272195e-06,1.487186590632005e-07,2.5861767397481464e-06,9.220398894227355e-08,2.6888334788082203e-06,1.0452750117800327e-08,2.646168752678224e-06,3.2211976012196126e-08,2.1832866504288163e-06,4.950940782616036e-07,2.9228999044669346e-06,2.4451917577651464e-07,2.9759035562962353e-06,2.9752282760581535e-07,2.875115679541471e-06,1.9673495085105095e-07,2.9408959952188543e-06,2.6251526652843435e-07,2.7586730505633614e-06,8.029232187294145e-08,2.7520177725950247e-06,7.363704390460475e-08,2.8742329919582186e-06,1.9585226326779863e-07
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062478872,-1.498125237150338,-0.21543616899864373,2.45277427142431e-06,3.5880521682268004e-07,2.45277427142431e-06,3.5880521682268004e-07,2.529143036141784e-06,2.824364521052063e-07,2.6653535073418345e-06,1.462259809051557e-07,2.619195150365777e-06,1.9238433788121315e-07,2.673889909580276e-06,1.376895786667141e-07,2.7566452802037618e-06,5.4934208043228427e-08,2.5827607369760716e-06,2.288187512709186e-07,2.3455164710027155e-06,4.6606301724427463e-07,3.045140563144206e-06,2.3356107489721564e-07,3.097233904958646e-06,2.856544167116558e-07,3.000006665544073e-06,1.884271772970828e-07,2.8860865039347682e-06,7.450701568777807e-08,2.9100075190036384e-06,9.84280307566482e-08,2.9036917486101385e-06,9.211226036314837e-08,3.0005230780663176e-06,1.889435898193274e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.16852654450837842,1.6027052989160653,1.3098836373877383,4.535806639364256e-06,1.1353373984790406e-07,4.535806639364256e-06,1.1353373984790406e-07,4.354920906641147e-06,2.944194725710133e-07,4.786749640523385e-06,1.3740926131122466e-07,4.73226117377285e-06,8.292079456068957e-08,4.714538214285794e-06,6.519783507363396e-08,4.768696855669305e-06,1.193564764571447e-07,4.803538844364869e-06,1.54198465152709e-07,4.278541672619327e-06,3.7079870659283336e-07,4.414504564859119e-06,2.3483581435304117e-07,4.392423612725176e-06,2.5691676648698473e-07,4.410696325786476e-06,2.386440534256842e-07,4.733141621518793e-06,8.38012423066327e-08,4.365107629044708e-06,2.8423275016745266e-07,4.391176666067654e-06,2.581637131445067e-07,4.597290682427153e-06,5.204969678500764e-08
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.558394049945512,1.1142507865229143,-0.1724044304412423,2.488002050073481e-06,3.7542364502135873e-07,2.488002050073481e-06,3.7542364502135873e-07,2.560020184127782e-06,3.0340551096705773e-07,2.720758299087987e-06,1.4266739600685273e-07,2.6702188097345303e-06,1.932068853603096e-07,2.6384152245511827e-06,2.2501047054365712e-07,2.66578329041213e-06,1.9764240468270993e-07,2.6726694832515025e-06,1.9075621184333736e-07,2.4700967591278555e-06,3.933289359669844e-07,3.102230696192413e-06,2.388050010975731e-07,3.0650861363873014e-06,2.016604412924615e-07,3.0838115038313937e-06,2.2038580873655382e-07,3.22324862014158e-06,3.598229250467401e-07,3.0201274972640682e-06,1.567018021692284e-07,3.0368023146953133e-06,1.733766196004734e-07,3.1148978765070343e-06,2.5147218141219443e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515389068,-1.2857839213602476,-1.3083567762670736,1.6827900684444591e-06,1.8800115785750905e-07,1.6827900684444591e-06,1.8800115785750905e-07,1.8542518822299444e-06,3.594629716429943e-07,1.8732773516746785e-06,3.784884410877284e-07,1.8319159271649432e-06,3.3712701657799313e-07,1.8855344220864153e-06,3.907455114994652e-07,1.9595023318591164e-06,4.6471342127216636e-07,1.8068513126330777e-06,3.1206240204612765e-07,1.549668337322594e-06,5.487942673564389e-08,1.3427277443719456e-06,1.5206116621500443e-07,1.389696748728284e-06,1.0509216185866599e-07,1.2741729318925019e-06,2.2061597869444822e-07,1.2082055141640176e-06,2.865833964229325e-07,1.3827136672504243e-06,1.120752433365258e-07,1.3530692328279398e-06,1.417196777590103e-07,1.2589221802014625e-06,2.358667303854876e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560092,-1.0546958994323583,-0.2630958529579698,2.229486126735882e-06,5.246712373837677e-07,2.229486126735882e-06,5.246712373837677e-07,2.3334309773223765e-06,4.207263867972734e-07,2.49341419934708e-06,2.6074316477257005e-07,2.4361062212700628e-06,3.1805114284958715e-07,2.4605322743610617e-06,2.936250897585882e-07,2.5541142912339027e-06,2.0004307288574718e-07,2.3891338592804562e-06,3.650235048391937e-07,2.5570319568268487e-06,1.9712540729280122e-07,2.7897730560641785e-06,3.561569194452854e-08,2.809470759293517e-06,5.531339517386719e-08,2.902472375738499e-06,1.483150116188489e-07,2.8048303811204623e-06,5.067301700081236e-08,3.0797479005298043e-06,3.255905364101544e-07,3.206181335522276e-06,4.52023971402626e-07,2.9171685611017104e-06,1.630111969820605e-07
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.5464086424604424,0.38094949736288936,-0.333497013007261,2.1893445289235134e-06,4.799909518930666e-07,2.1893445289235134e-06,4.799909518930666e-07,2.2982468668398355e-06,3.710886139767444e-07,2.4558003708925043e-06,2.135351099240756e-07,2.3979435260370997e-06,2.7139195477948026e-07,2.422870480545213e-06,2.464650002713671e-07,2.517475916691893e-06,1.518595641246871e-07,2.426459747815057e-06,2.4287573300152275e-07,2.3303590239241187e-06,3.389764568924612e-07,2.7297351152318883e-06,6.039963441530833e-08,2.7498177620857254e-06,8.048228126914547e-08,2.700030003734603e-06,3.0694522918023e-08,2.7057464407331596e-06,3.641095991657968e-08,2.8503138067971206e-06,1.8097832598054067e-07,2.8414846965919026e-06,1.7214921577532264e-07,2.709316632586404e-06,3.998115176982416e-08
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.401640475557379,1.6317100856406044,1.325087037713753,5.232828006165256e-06,5.651700161728165e-07,5.232828006165256e-06,5.651700161728165e-07,4.965860134642223e-06,2.982021446497828e-07,5.42345132643131e-06,7.557933364388698e-07,5.382060363542463e-06,7.144023735500229e-07,5.33544281806482e-06,6.6778482807238e-07,5.316782201428394e-06,6.491242114359544e-07,5.37093502141061e-06,7.032770314181699e-07,4.474031004039947e-06,1.9362698595249288e-07,4.609779379860179e-06,5.787861013226083e-08,4.559111709067478e-06,1.0854628092496173e-07,4.570028472621996e-06,9.762951737044388e-08,4.789159779002103e-06,1.21501789009663e-07,4.393382148482868e-06,2.742758415095716e-07,4.3816399433057326e-06,2.860180466867073e-07,4.715604296540305e-06,4.7946306547865195e-08
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826135317,-0.22534158372165586,-0.3547429057360842,2.369589796518302e-06,2.741478584605782e-07,2.369589796518302e-06,2.741478584605782e-07,2.4562318438866676e-06,1.8750581109221257e-07,2.6044734380244227e-06,3.926421695445747e-08,2.5534720176567146e-06,9.026563732216557e-08,2.4916133948521423e-06,1.5212426012673784e-07,2.4588205718777458e-06,1.849170831011344e-07,2.479828939619103e-06,1.6390871535977702e-07,2.531854452122202e-06,1.118832028566781e-07,2.960917957696165e-06,3.171803027172849e-07,2.892912914031342e-06,2.4917525905246164e-07,2.8921958119048592e-06,2.4845815692597904e-07,2.7820923741785004e-06,1.3835471919962024e-07,3.0089552188332702e-06,3.6521756385439005e-07,3.031171288845911e-06,3.874336338670308e-07,2.8543099780854444e-06,2.1057232310656418e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090679957,0.28035103089256264,1.4808531440987687,5.442944718635064e-06,5.87614046983504e-07,5.442944718635064e-06,5.87614046983504e-07,5.150027433122009e-06,2.946967614704492e-07,5.285667297889279e-06,4.303366262377194e-07,5.319817704441093e-06,4.6448703278953374e-07,5.361485329609794e-06,5.061546579582345e-07,5.383991291258246e-06,5.286606196066866e-07,5.362309592859544e-06,5.069789212079843e-07,4.8970684272389175e-06,4.1737755587357856e-08,4.393802443360199e-06,4.6152822829136076e-07,4.438192947766444e-06,4.171377238851159e-07,4.444624545687411e-06,4.1070612596414904e-07,4.536883872239976e-06,3.184467994115837e-07,4.65059330579011e-06,2.0473736586144928e-07,4.646471420556741e-06,2.088592510948189e-07,4.372785830819121e-06,4.825448408324386e-07
