Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,3.4911420211531385e-13,0.24049792044674861,5.908588681870772e-07,4.204379228533114e-13,0.326414031711989,6.484118466324558e-07,3.360651819491886e-13,0.22709827507230632,5.797112918938087e-07
Model_2,3.4911420211531385e-13,0.24049792044674861,5.908588681870772e-07,4.204379228533114e-13,0.326414031711989,6.484118466324558e-07,3.360651819491886e-13,0.22709827507230632,5.797112918938087e-07
Model_3,3.2815665897531357e-13,0.226060680390905,5.728495954221436e-07,3.8800897951011494e-13,0.3012372777479905,6.229036679215454e-07,3.171792638494429e-13,0.21433599068826806,5.631867042548526e-07
Model_4,2.392311070755037e-13,0.1648016133667005,4.891125709645007e-07,2.661438700088594e-13,0.20662525643609198,5.158913354659675e-07,2.339140372262732e-13,0.15806896168528878,4.836466036542314e-07
Model_5,2.2969795687093294e-13,0.1582344133341207,4.792681471482671e-07,2.6992416737320337e-13,0.2095601536865387,5.195422671671703e-07,2.2206959120486487e-13,0.1500649987485524,4.712426033423388e-07
Model_6,2.0854759908367097e-13,0.14366434705288395,4.566701206381593e-07,2.281260461102905e-13,0.17710948133324067,4.77625424480618e-07,1.9196094384171646e-13,0.12971888064945944,4.3813347719812104e-07
Model_7,2.0831052353749436e-13,0.14350103036310513,4.5641047702424005e-07,2.1046671020145865e-13,0.16339935977180098,4.5876650945928764e-07,1.9231924801542082e-13,0.1299610070706719,4.385421849895638e-07
Model_8,1.938359618751814e-13,0.13352978898113843,4.402680568417171e-07,3.356788060827103e-13,0.26060987008527514,5.793779475288219e-07,2.0856557378875415e-13,0.14093956943761352,4.566898003993018e-07
Model_9,1.8018300071240497e-13,0.12412453205462876,4.2447968233168117e-07,2.147975143683938e-13,0.16676165220986344,4.6346252746947495e-07,1.781466729775309e-13,0.12038379551376548,4.220742505502212e-07
Model_10,1.5656650066501972e-13,0.10785558878273444,3.9568485018385493e-07,2.1469714509998464e-13,0.16668372884524618,4.6335423284997043e-07,1.5875726715298185e-13,0.10728127596118125,3.984435557930155e-07
Model_11,1.4438206308624628e-13,0.09946196892495411,3.7997639806473015e-07,1.5673276181777568e-13,0.12168210788193917,3.958948873347264e-07,1.3756605068590648e-13,0.09296117091952212,3.7089897638832396e-07
Model_12,1.4188157127958616e-13,0.0977394292059963,3.7667170225487627e-07,1.6240758593821503e-13,0.12608785274871542,4.029982455770931e-07,1.4957011127062326e-13,0.10107299445578127,3.867429524511381e-07
Model_13,1.3871663510898816e-13,0.09555916680829499,3.724468218537892e-07,2.0886535482800556e-13,0.16215612067456367,4.5701789333461066e-07,1.4221995118141036e-13,0.09610607503829179,3.771206056176331e-07
Model_14,1.2415130006129043e-13,0.08552539342309076,3.5235110339161767e-07,1.9908991581396035e-13,0.1545667946721078,4.461949302871564e-07,1.2672955808209777e-13,0.08563833918823362,3.559909522475224e-07
Model_15,1.2134950206723012e-13,0.08359528978651395,3.483525542711437e-07,1.4569621817026788e-13,0.11311370214988714,3.8170173980513615e-07,1.2816844158699768e-13,0.08661067425757195,3.5800620328005165e-07
Model_16,1.189278156918643e-13,0.08192703758216127,3.4485912441439666e-07,1.450545905907973e-13,0.11261556381914083,3.8086032950518396e-07,1.274489641986055e-13,0.08612448264167853,3.5699994985798737e-07
Model_17,1.0360121265850527e-13,0.07136884162593325,3.218714225564383e-07,1.4199696567942311e-13,0.11024172544601939,3.768248474814567e-07,1.1204426219998024e-13,0.07571465312110759,3.3473013339103523e-07
Model_18,9.453668677897887e-14,0.0651244676914069,3.0746818823900933e-07,1.2625806420407236e-13,0.0980225653606923,3.553281078159626e-07,1.0195271163081213e-13,0.06889522090926503,3.193003470571432e-07
