gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.919480507773465,0.8394489935454146,-0.32598956423986636,2.3223193064473733e-06,3.560614222430467e-07,2.3223193064473733e-06,3.560614222430467e-07,2.415922497633735e-06,2.6245823105668495e-07,2.699347343582783e-06,2.0966614892362876e-08,2.5293740935672476e-06,1.4900663512317236e-07,2.5859834743757128e-06,9.23972543147072e-08,2.646168752678224e-06,3.2211976012196126e-08,2.9233052914672575e-06,2.4492456277683756e-07,2.9756037460621296e-06,2.9722301737170966e-07,2.8768794114876274e-06,1.9849868279720747e-07,2.7655740621314332e-06,8.719333344101326e-08,2.9302976224300613e-06,2.519168937396413e-07,2.816566236063691e-06,1.3818550737327117e-07,2.881923713623694e-06,2.0354298493327393e-07,2.8877736628303914e-06,2.093929341399714e-07,2.6736863784897327e-06,4.694350200687279e-09,2.7951422950288694e-06,1.1676156633844939e-07,2.6871941863061433e-06,8.813457615723315e-09,2.5790230886315737e-06,9.935764005884626e-08,2.8597473906689833e-06,1.8136666197856335e-07,2.650022016495932e-06,2.8358712194487827e-08,2.5916859046558307e-06,8.669482403458925e-08
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062478872,-1.498125237150338,-0.21543616899864373,2.45277427142431e-06,3.5880521682268004e-07,2.45277427142431e-06,3.5880521682268004e-07,2.5300705919885547e-06,2.815088962584355e-07,2.8650294142296093e-06,5.344992598261914e-08,2.618964010256136e-06,1.9261547799085426e-07,2.673720818246799e-06,1.378586700001912e-07,2.5827607369760716e-06,2.288187512709186e-07,3.045465941565282e-06,2.33886453318292e-07,3.096971203357523e-06,2.853917151105327e-07,3.0017481488840218e-06,1.901686606370316e-07,2.9010387617963293e-06,8.945927354933911e-08,3.0372641859811315e-06,2.2568469773414133e-07,2.8057473599502063e-06,5.832128296783917e-09,3.006970500630395e-06,1.9539101238340467e-07,2.975466424630039e-06,1.6388693638304892e-07,2.817474805363144e-06,5.895317116153707e-09,2.937754099309575e-06,1.261746110625848e-07,2.7909366278893408e-06,2.0642860357649395e-08,2.7403364673871077e-06,7.124302085988248e-08,3.0502967050971687e-06,2.3871721685017853e-07,2.8258179802893766e-06,1.4238492042386465e-08,2.7478389771608245e-06,6.374051108616571e-08
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.16852654450837842,1.6027052989160653,1.3098836373877383,4.535806639364256e-06,1.1353373984790406e-07,4.535806639364256e-06,1.1353373984790406e-07,4.352723913936008e-06,2.9661646527615196e-07,4.209171272987974e-06,4.401691062241859e-07,4.731988320252837e-06,8.264794104067707e-08,4.714444601436524e-06,6.510422222436366e-08,4.803538844364869e-06,1.54198465152709e-07,4.414888663697113e-06,2.3445171551504718e-07,4.392279785397149e-06,2.57060593815011e-07,4.409561309825241e-06,2.3977906938691957e-07,4.607347746490218e-06,4.199263272194242e-08,4.483859274173086e-06,1.6548110503907438e-07,4.692879628527413e-06,4.353924931525302e-08,4.596643457948145e-06,5.269692126401561e-08,4.677121865926057e-06,2.7781486713897095e-08,4.800096684570816e-06,1.5075630535865545e-07,4.5031360428797125e-06,1.4620433633244776e-07,4.887375010932625e-06,2.380346317204651e-07,4.690743173522268e-06,4.1402794310107984e-08,4.5413729231524375e-06,1.0796745605972277e-07,4.664461380889974e-06,1.5121001677813893e-08,4.623165590339506e-06,2.6174788872654297e-08
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.558394049945512,1.1142507865229143,-0.1724044304412423,2.488002050073481e-06,3.7542364502135873e-07,2.488002050073481e-06,3.7542364502135873e-07,2.5608948983065796e-06,3.0253079678826027e-07,2.906121149254396e-06,4.269545415955629e-08,2.6699657309016677e-06,1.9345996419317218e-07,2.6383437420936504e-06,2.250819530011895e-07,2.6726694832515025e-06,1.9075621184333736e-07,3.102586957990388e-06,2.391612628955481e-07,3.0649765554268704e-06,2.015508603320305e-07,3.0848183862752384e-06,2.213926911803985e-07,2.875414955677133e-06,1.1989260582293282e-08,3.153298381650051e-06,2.8987268655521124e-07,2.905658099916837e-06,4.223240482199721e-08,3.11992546149787e-06,2.5649976640303035e-07,3.139415415087864e-06,2.759897199930242e-07,2.93640238360967e-06,7.297668851483013e-08,3.0719188696218394e-06,2.0849317452699956e-07,2.9609912637761997e-06,9.756556868135982e-08,2.8799295591370795e-06,1.6503864042239637e-08,2.88334141215448e-06,1.9915717059640182e-08,2.798052354043465e-06,6.537334105137467e-08,2.865366311211708e-06,1.940616116867982e-09
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515389068,-1.2857839213602476,-1.3083567762670736,1.6827900684444591e-06,1.8800115785750905e-07,1.6827900684444591e-06,1.8800115785750905e-07,1.856334414381185e-06,3.615455037942349e-07,1.1540144916589815e-06,3.4077441892796857e-07,1.8317088079167205e-06,3.3691989732977044e-07,1.8853757768272977e-06,3.9058686624034763e-07,1.8068513126330777e-06,3.1206240204612765e-07,1.3430193083677667e-06,1.5176960221918335e-07,1.3894500731311728e-06,1.0533883745577724e-07,1.2849380489751513e-06,2.098508616117988e-07,1.6664589274744943e-06,1.7167001688754426e-07,1.3446733630686578e-06,1.5011554751829228e-07,1.5899099953461292e-06,9.51210847591791e-08,1.2702658722065759e-06,2.2452303838037418e-07,1.2358478606087262e-06,2.5894104997822385e-07,1.518394545456483e-06,2.360563486953287e-08,1.2832181543734067e-06,2.1157075621354338e-07,1.5100137033590888e-06,1.5224792772138736e-08,1.5498623162699709e-06,5.5073405683020786e-08,1.4226436385180742e-06,7.214527206887587e-08,1.6296794402436721e-06,1.3489052965672203e-07,1.6332367892806117e-06,1.384478786936616e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560092,-1.0546958994323583,-0.2630958529579698,2.229486126735882e-06,5.246712373837677e-07,2.229486126735882e-06,5.246712373837677e-07,2.3346934653861803e-06,4.1946389873346963e-07,2.5658218776818146e-06,1.883354864378353e-07,2.435819248916543e-06,3.1833811520310693e-07,2.4603835549164927e-06,2.9377380920315727e-07,2.3891338592804562e-06,3.650235048391937e-07,2.7901770301361215e-06,3.601966601647154e-08,2.809240998130051e-06,5.508363401040097e-08,2.900639045601728e-06,1.4648168148207793e-07,2.5986715522310244e-06,1.5548581188862557e-07,2.983784573138181e-06,2.296272090185312e-07,2.524287793499167e-06,2.2986957062048304e-07,2.9196969685620265e-06,1.6553960444237654e-07,2.8634482277158785e-06,1.0929086359622856e-07,2.7074848185805925e-06,4.667254553905743e-08,3.2142331554218357e-06,4.600757913021858e-07,2.6601732918908175e-06,9.398407222883241e-08,3.018651371409373e-06,2.644940072897231e-07,2.9732914086474315e-06,2.1913404452778155e-07,2.7051225655157374e-06,4.903479860391257e-08,2.9604584198711513e-06,2.0630105575150135e-07
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.5464086424604424,0.38094949736288936,-0.333497013007261,2.1893445289235134e-06,4.799909518930666e-07,2.1893445289235134e-06,4.799909518930666e-07,2.2995695673003573e-06,3.697659135162227e-07,2.5031623422303536e-06,1.6617313858622638e-07,2.397653805207775e-06,2.7168167560880493e-07,2.42271999298115e-06,2.4661548783543014e-07,2.426459747815057e-06,2.4287573300152275e-07,2.7301429583628152e-06,6.080747754623528e-08,2.749585261392e-06,8.024978057542023e-08,2.701999351175253e-06,3.266387035867286e-08,2.541769098335144e-06,1.2756638248143582e-07,2.7774856527092517e-06,1.0815017189267178e-07,2.540746532439411e-06,1.28588948377169e-07,2.7164504572498835e-06,4.711497643330357e-08,2.7111192935717377e-06,4.1783812755157724e-08,2.5054546143477514e-06,1.6388086646882858e-07,2.788588604939073e-06,1.192531241224929e-07,2.509760229706285e-06,1.5957525111029495e-07,2.587898294309028e-06,8.143718650755207e-08,2.743682387505296e-06,7.434690668871611e-08,2.548569685452672e-06,1.207657953639081e-07,2.575343315014647e-06,9.399216580193281e-08
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.401640475557379,1.6317100856406044,1.325087037713753,5.232828006165256e-06,5.651700161728165e-07,5.232828006165256e-06,5.651700161728165e-07,4.962617609886882e-06,2.949596198944421e-07,4.453642709097283e-06,2.1401528089515663e-07,5.381853096379439e-06,7.141951063869989e-07,5.3354021917326824e-06,6.677442017402425e-07,5.37093502141061e-06,7.032770314181699e-07,4.610071152077258e-06,5.75868379151815e-08,4.559049656570313e-06,1.0860833342212708e-07,4.569879639559341e-06,9.777835043309871e-08,4.788892761167445e-06,1.212347711750053e-07,4.588713262758437e-06,7.894472723400253e-08,4.828219182943862e-06,1.6056119295142175e-07,4.716136380065176e-06,4.847839007273578e-08,4.771277642117238e-06,1.0361965212479832e-07,4.915669198478603e-06,2.4801120848616303e-07,4.4896979575971435e-06,1.779600323952964e-07,4.980454474289896e-06,3.127964842974561e-07,4.674466091263603e-06,6.808101271163344e-09,4.578045895191963e-06,8.961209480047662e-08,4.720058517588054e-06,5.240052759561369e-08,4.52110846184074e-06,1.4654952815169966e-07
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826135317,-0.22534158372165586,-0.3547429057360842,2.369589796518302e-06,2.741478584605782e-07,2.369589796518302e-06,2.741478584605782e-07,2.4572841764457976e-06,1.8645347853308256e-07,2.762046080029858e-06,1.18308425050978e-07,2.553216625682911e-06,9.052102929596916e-08,2.4915667713998316e-06,1.521708835790486e-07,2.479828939619103e-06,1.6390871535977702e-07,2.9612774757275484e-06,3.1753982074866823e-07,2.892841746757152e-06,2.4910409177827165e-07,2.894366117100748e-06,2.50628462121868e-07,2.6875525013581135e-06,4.381484637923335e-08,2.8998197283453745e-06,2.5608207336649427e-07,2.674178937941284e-06,3.04412829624037e-08,2.8631453191994842e-06,2.1940766422060404e-07,2.8493953471456693e-06,2.056576921667891e-07,2.660620344261289e-06,1.688268928240882e-08,2.8998535629361187e-06,2.5611590795723847e-07,2.6532521142784094e-06,9.51445929952918e-09,2.70924823060269e-06,6.551057562380967e-08,2.741577985731425e-06,9.784033075254485e-08,2.628330500697531e-06,1.5407154281348984e-08,2.673743103614085e-06,3.0005448635204824e-08
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090679957,0.28035103089256264,1.4808531440987687,5.442944718635064e-06,5.87614046983504e-07,5.442944718635064e-06,5.87614046983504e-07,5.146469733297964e-06,2.911390616464045e-07,4.51856195923188e-06,3.367687124196793e-07,5.31998871418303e-06,4.6465804253147e-07,5.3615163599091255e-06,5.061856882575659e-07,5.362309592859544e-06,5.069789212079843e-07,4.393561711105177e-06,4.6176896054638244e-07,4.438240310724617e-06,4.170903609269424e-07,4.445789867411946e-06,4.0954080423961403e-07,4.660168868223915e-06,1.951618034276448e-07,4.4899667161377066e-06,3.653639555138531e-07,4.669275853721512e-06,1.860548179300478e-07,4.370978046439873e-06,4.843526252116866e-07,4.370689061439231e-06,4.846416102123287e-07,4.563964070037276e-06,2.913666016142833e-07,4.5544328049744165e-06,3.0089786667714317e-07,4.5665595277720535e-06,2.887711438795062e-07,4.77873440564157e-06,7.659626600998995e-08,4.831572332438721e-06,2.3758339212838474e-08,4.7898516128969315e-06,6.547905875462811e-08,4.779673023876195e-06,7.565764777536482e-08
