complexity,loss,equation,score,sympy_format,lambda_format
1,0.2406,x1,0.0,x1,PySRFunction(X=>x1)
5,0.2405,x3 + (x1 - x3),0.00010392849869067457,x1 - x3 + x3,PySRFunction(X=>x1 - x3 + x3)
7,0.2258,x1 / 1.142,0.03153521891512708,x1/1.142,PySRFunction(X=>x1/1.142)
8,0.1641,x1 - (x0 / exp(x2 / x2)),0.3191736536195165,-x0/exp(x2/x2) + x1,PySRFunction(X=>-x0/exp(x2/x2) + x1)
9,0.1581,x1 - (x0 * 0.289),0.03724825388061893,-0.289*x0 + x1,PySRFunction(X=>-0.289*x0 + x1)
11,0.1436,x1 + (x0 / (x4 - 3.693)),0.04809804380065125,x0/(x4 - 1*3.693) + x1,PySRFunction(X=>x0/(x4 - 1*3.693) + x1)
12,0.1433,x1 - (x0 / exp(0.6436 ^ x4)),0.00209132177999761,-x0/exp(0.6436**x4) + x1,PySRFunction(X=>-x0/exp(0.6436**x4) + x1)
13,0.1332,(x0 / (x5 + (x4 - 3.982))) + x1,0.0730885767278374,x0/(x4 + x5 - 1*3.982) + x1,PySRFunction(X=>x0/(x4 + x5 - 1*3.982) + x1)
15,0.11304,log(x1 + 1.359) - (x0 / exp(x2 / x2)),0.08205500986500845,-x0*exp(-1) + log(x1 + 1.359),PySRFunction(X=>-x0*exp(-1) + log(x1 + 1.359))
16,0.1075,log(1.362 + x1) - (x0 * 0.296),0.05025089080855452,-0.296*x0 + log(x1 + 1.362),PySRFunction(X=>-0.296*x0 + log(x1 + 1.362))
18,0.094,(x0 / (x4 - 3.588)) + log(x1 + 1.36),0.06709803264885678,x0/(x4 - 3.588) + log(x1 + 1.36),PySRFunction(X=>x0/(x4 - 3.588) + log(x1 + 1.36))
20,0.084,log(x1 + 1.355) - (x0 / (4.227 - (x3 + x4))),0.0562389917133451,-x0/(-x3 - x4 + 4.227) + log(x1 + 1.355),PySRFunction(X=>-x0/(-x3 - x4 + 4.227) + log(x1 + 1.355))
23,0.0815,log(x1 + 1.36) - (((x4 + x1) + exp(x3)) * (x0 * 0.1315)),0.010071259532165531,-0.1315*x0*(x1 + x4 + exp(x3)) + log(x1 + 1.36),PySRFunction(X=>-0.1315*x0*(x1 + x4 + exp(x3)) + log(x1 + 1.36))
24,0.07764,log(x1 + 1.359) - ((exp(x4) + (x3 + x1)) * log(1.154 ^ x0)),0.04852026194600751,-(x1 + x3 + exp(x4))*log(1.154**x0) + log(x1 + 1.359),PySRFunction(X=>-(x1 + x3 + exp(x4))*log(1.154**x0) + log(x1 + 1.359))
26,0.0725,log(x1 + 1.361) - ((0.1366 * x0) * ((x3 + 2.16) + x4)),0.034248098220090256,-0.1366*x0*(x3 + x4 + 2.16) + log(x1 + 1.361),PySRFunction(X=>-0.1366*x0*(x3 + x4 + 2.16) + log(x1 + 1.361))
28,0.06122,log(x1 + 1.36) - (((2.203 + x4) + (x3 + x1)) * (0.1324 * x0)),0.08455631417168129,-0.1324*x0*(x1 + x3 + x4 + 2.203) + log(x1 + 1.36),PySRFunction(X=>-0.1324*x0*(x1 + x3 + x4 + 2.203) + log(x1 + 1.36))
