Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,3.4911420211531385e-13,0.24049792044674861,5.908588681870772e-07,4.204379228533114e-13,0.326414031711989,6.484118466324558e-07,3.360651819491886e-13,0.22709827507230632,5.797112918938087e-07
Model_2,3.4911420211531385e-13,0.24049792044674861,5.908588681870772e-07,4.204379228533114e-13,0.326414031711989,6.484118466324558e-07,3.360651819491886e-13,0.22709827507230632,5.797112918938087e-07
Model_3,3.2814822629310126e-13,0.22605487128166923,5.728422350814413e-07,3.8807417505863785e-13,0.3012878934053475,6.229559976905574e-07,3.1715764478433037e-13,0.2143213814616673,5.63167510412604e-07
Model_4,2.829524864825003e-13,0.1949204133545992,5.319327838012058e-07,3.865980558468925e-13,0.3001418835023316,6.217700988684584e-07,2.769766861005514e-13,0.18716883220050204,5.262857456748676e-07
Model_5,2.298321649375649e-13,0.15832686663661194,4.794081402495841e-07,2.688082093328769e-13,0.20869376094848055,5.184671728594559e-07,2.2242095356541061e-13,0.15030243419349334,4.7161526010659433e-07
Model_6,2.2439501358260043e-13,0.1545813198037986,4.7370350809615124e-07,3.08856004859702e-13,0.23978553856543244,5.557481487685784e-07,2.3268979846805295e-13,0.15724167422677865,4.823793097429169e-07
Model_7,2.0671921058119278e-13,0.14240480610625267,4.5466384349450174e-07,2.3937016089987213e-13,0.18583903840219296,4.892546994152147e-07,2.060857370058211e-13,0.13926380328832497,4.539666694877732e-07
Model_8,2.0408586124197206e-13,0.14059074344121328,4.5175863161866876e-07,2.819166265712704e-13,0.21887070048597274,5.30958215466406e-07,2.1337086961713635e-13,0.144186779956443,4.6192084778361797e-07
Model_9,1.4806520445435563e-13,0.10199921271043928,3.847924173555862e-07,1.9101036784719744e-13,0.14829410212253105,4.370473290699732e-07,1.5289013477428163e-13,0.1033165223526829,3.910116811225486e-07
Model_10,1.4725692978865437e-13,0.10144240816031463,3.8374070645248774e-07,1.6676195180780593e-13,0.12946843770973984,4.083649737768972e-07,1.503716618866642e-13,0.10161464759946684,3.8777785120693034e-07
Model_11,1.350899293732483e-13,0.09306080042207265,3.6754581942017557e-07,1.6747158248825449e-13,0.13001937138827138,4.0923291960478266e-07,1.404478413041935e-13,0.09490856003831363,3.74763713964137e-07
