complexity,loss,equation,score,sympy_format,lambda_format
1,0.2406,x1,0.0,x1,PySRFunction(X=>x1)
5,0.2405,x3 - (x3 - x1),0.00010392849869067457,x3 - (-x1 + x3),PySRFunction(X=>x3 - (-x1 + x3))
7,0.2258,x1 / 1.142,0.03153521891512708,x1/1.142,PySRFunction(X=>x1/1.142)
8,0.1946,log(1.356 + x1),0.14870348196365699,log(x1 + 1.356),PySRFunction(X=>log(x1 + 1.356))
9,0.1581,x1 - (x0 * 0.2966),0.20771842553647835,-0.2966*x0 + x1,PySRFunction(X=>-0.2966*x0 + x1)
11,0.1543,(-0.209 * (x0 - x2)) + x1,0.012164492423155595,x1 - 0.209*(x0 - x2),PySRFunction(X=>x1 - 0.209*(x0 - x2))
15,0.1421,(x1 / 1.142) - (x0 * 0.2866),0.02059193106651503,-0.2866*x0 + x1/1.142,PySRFunction(X=>-0.2866*x0 + x1/1.142)
17,0.1403,(x1 * 0.8765) + ((x0 - x2) * -0.209),0.006374023997319825,x1*0.8765 + (x0 - x2)*(-0.209),PySRFunction(X=>x1*0.8765 + (x0 - x2)*(-0.209))
19,0.10175,x1 - (((x0 - 1.003) + (x1 * x1)) / 4.027),0.16063208139285554,x1 - (x0 + x1*x1 - 1*1.003)/4.027,PySRFunction(X=>x1 - (x0 + x1*x1 - 1*1.003)/4.027)
26,0.1014,x1 - ((x0 + (x1 - 0.893)) / (exp(0.771) + (0.04593 ^ x1))),0.0004922475950887806,x1 - (x0 + x1 - 1*0.893)/(0.04593**x1 + exp(0.771)),PySRFunction(X=>x1 - (x0 + x1 - 1*0.893)/(0.04593**x1 + exp(0.771)))
27,0.09283,x1 - (((x0 + -1.02) + (x1 * x1)) / ((0.386 ^ x4) + 2.936)),0.08830322774524171,x1 - (x0 + x1*x1 - 1.02)/(0.386**x4 + 2.936),PySRFunction(X=>x1 - (x0 + x1*x1 - 1.02)/(0.386**x4 + 2.936))
