Complexity,Loss,Equation
1,0.2406,"x1"
5,0.2405,"x3 + (x1 - x3)"
7,0.2258,"x1 * 0.8765"
8,0.1641,"x1 - (x0 / exp(x3 / x3))"
9,0.158,"(x0 * -0.288) + x1"
11,0.1434,"x1 - (x0 / (3.648 - x4))"
12,0.1433,"x1 - (x0 / exp(0.6523 ^ x4))"
13,0.1332,"x1 - (x0 / ((3.982 - x4) - x5))"
15,0.1305,"x1 + (0.1587 * ((x2 - x0) - (x1 * x1)))"
16,0.1075,"log(x1 - -1.362) + (x0 * -0.2969)"
18,0.094,"(x0 / (x4 + -3.602)) + log(x1 - -1.361)"
20,0.084,"log(x1 - -1.355) + (x0 / (x3 + (x4 + -4.195)))"
23,0.0837,"log(x1 - -1.361) - ((x0 * 0.1322) * (exp(x5) + (x4 + x3)))"
24,0.0743,"(((x2 - x0) - x0) / (6.543 - (x4 + x1))) + log(x1 - -1.362)"
26,0.06354,"log(x1 - -1.362) + (((x0 + x0) - x2) / ((x1 + x4) - (6.73 - x3)))"
28,0.06113,"log(x1 + 1.36) - ((x0 * 0.132) * ((x1 + x3) + (x4 - -2.256)))"
