beta,gamma1,gamma2,frac,lambda1,lambda2,delta,epsilon
1e-06,0.001,0,0.92,0.05,0.05,1,1
1e-06,0.001,0,0.92,0.05,0.05,1,100
1e-06,0.001,0,0.92,0.05,0.05,100,1
1e-06,0.001,0,0.92,0.05,0.05,100,100
1e-06,0.002,0,0.92,0.05,0.05,1,1
1e-06,0.002,0,0.92,0.05,0.05,1,100
1e-06,0.002,0,0.92,0.05,0.05,100,1
1e-06,0.002,0,0.92,0.05,0.05,100,100
1e-06,0.004,0,0.92,0.05,0.05,1,1
1e-06,0.004,0,0.92,0.05,0.05,1,100
1e-06,0.004,0,0.92,0.05,0.05,100,1
1e-06,0.004,0,0.92,0.05,0.05,100,100
1e-06,0.008,0,0.92,0.05,0.05,1,1
1e-06,0.008,0,0.92,0.05,0.05,1,100
1e-06,0.008,0,0.92,0.05,0.05,100,1
1e-06,0.008,0,0.92,0.05,0.05,100,100
