gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.13718745592027e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0.000153120289156409,0,6.4283145509383e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,0,0.000153120289156409,-6.17590882534627e-10
0.002,0.05,100,1,1.8038155976346e-06,0,7.30923886463569e-12
0.002,0.05,100,1,3.65478012618105e-06,1.8038155976346e-06,7.61997226471181e-12
0.002,0.05,100,1,1.47586981399174e-05,1.89111268515726e-05,-1.63756571537574e-11
0.002,0.05,100,1,1.9648624802514e-05,1.43157147643707e-05,2.24994034854429e-11
0.002,0.05,100,1,0,1.89111268515726e-05,-7.68559436994952e-11
0.002,0.05,100,1,1.43157147643707e-05,2.63166266299633e-06,4.90848006741375e-11
0.002,0.05,100,1,1.95822902718451e-05,1.9648624802514e-05,4.64576072941625e-13
0.002,0.05,100,1,5.63372527474963e-06,1.9648624802514e-05,-5.69958005891646e-11
0.002,0.05,100,1,9.0038207248324e-06,2.16544145505451e-06,2.81598872330744e-11
0.002,0.05,100,1,0,3.65478012618105e-06,-1.50897708446604e-11
0.002,0.05,100,1,9.0038207248324e-06,2.63166266299633e-06,2.67570336211589e-11
0.002,0.05,100,1,3.65478012618105e-06,3.00966288152429e-05,-1.08898588151576e-10
0.002,0.05,100,1,5.63372527474963e-06,2.63166266299633e-06,1.26074163541616e-11
0.002,0.05,100,1,2.63166266299633e-06,1.89111268515726e-05,-6.4717925665587e-11
0.002,0.05,100,1,0,1.47586981399174e-05,-6.07039735170533e-11
0.002,0.05,100,1,2.16544145505451e-06,3.65478012618105e-06,-6.13565912172096e-12
0.002,0.05,100,1,4.4633812962421e-06,0,1.80909148531157e-11
0.002,0.05,100,1,0,1.9648624802514e-05,-8.01439862774973e-11
0.002,0.05,100,1,0,1.47586981399174e-05,-6.07039735170533e-11
0.002,0.05,100,1,0,3.39289069794426e-06,-1.40088846142115e-11
0.002,0.05,100,1,5.63372527474963e-06,2.50091683082012e-06,1.29046904660543e-11
0.002,0.05,100,1,1.47586981399174e-05,9.0038207248324e-06,2.38646012114783e-11
0.002,0.05,100,1,5.63372527474963e-06,0,3.10609432420773e-11
0.002,0.05,100,1,1.47586981399174e-05,4.4633812962421e-06,4.24625497504846e-11
0.002,0.05,100,1,9.0038207248324e-06,9.11578494473825e-05,-3.32865017174752e-10
0.002,0.05,100,1,0,8.97494698951445e-06,-3.57788978852467e-11
0.002,0.05,100,1,1.20992071739938e-05,4.13156153555089e-07,4.79921580402027e-11
0.002,0.05,100,1,2.50091683082012e-06,1.95822902718451e-05,-6.95877811910995e-11
0.002,0.05,100,1,1.9648624802514e-05,2.5209348137819e-06,7.04645434147388e-11
0.002,0.05,100,1,4.78929694334647e-07,2.19812350303106e-05,-8.7115544513908e-11
0.002,0.05,100,1,1.02763852578131e-05,3.70844743442457e-06,2.70398405341179e-11
0.002,0.05,100,1,6.90385479826729e-06,5.77701138285382e-05,-2.07332913388821e-10
0.002,0.05,100,1,7.62445456362653e-06,6.90385479826729e-06,3.05989349842728e-12
0.002,0.05,100,1,1.95648639649775e-05,2.4708699843109e-06,7.0441968289564e-11
0.002,0.05,100,1,1.65210450356674e-06,6.90385479826729e-06,-2.16584614208749e-11
0.002,0.05,100,1,3.13531280096106e-06,7.3447045623995e-06,-1.73355579428609e-11
0.002,0.05,100,1,2.98970019963204e-06,8.18849051233882e-06,-2.1415464490047e-11
0.002,0.05,100,1,7.3447045623995e-06,8.18849051233882e-06,-3.36956858628332e-12
