Complexity,Loss,Equation
1,0.09876118405042979,"x0"
2,0.09755905408582503,"cos(x1)"
3,0.023647167362466758,"x0 / 0.6798132424084181"
4,0.021501495135624653,"1.6167998582520786 * sin(x0)"
5,0.008302874156487415,"x0 / cos(cos(x1))"
6,0.003485651339292043,"sin(x0) / cos(cos(x1))"
7,0.0026174041852191393,"sin(x0) / cos(cos(square(x1)))"
8,0.0009265265172307105,"sin(3.1022780335581492 - x0) / cos(cos(x1))"
10,0.0007108122111251727,"sin(x0) / cos((-0.025435104418608873 / x0) - cos(x1))"
12,0.000619671616327189,"(1.4439436890379302 * sin(x0)) + ((x1 + -0.7161488740534142) / (x0 - 2.7636602559354824))"
13,0.0001409773128657197,"((x1 + -0.5477524629309622) / (x0 - 2.70435192123402)) + (1.6988469313552292 * sin(sin(x0)))"
14,0.00010899096884347636,"((2.6689609385882758 * sin(x0)) - x0) + ((-0.5588762237443858 + x1) / (x0 - 2.6974567777548772))"
15,7.018330797697074e-5,"((x1 + -0.5822002828379186) / -3.7781262258382515) + (sin(sin(x0)) * ((-0.4280916519314282 * x1) + 1.9151421071421797))"
17,6.320038790050418e-5,"(((x1 + -0.5588733089585695) * 1.5885944699553374) / (log(x0) - 2.70435192123402)) + ((sin(x0) * 2.6689609385882758) - x0)"
19,5.6692354141188236e-5,"((1.379604166548814 * (x1 + -0.5588733089585695)) / (log(x0) - (2.4021830468211793 * 0.9728337440023791))) + ((sin(x0) * 2.668963666964687) - x0)"
20,1.9347970858738075e-5,"((x1 + (-0.08994309195685556 / x0)) / -4.697014527976421) + ((sin(x0) - (x0 / 2.4296988306886065)) * ((x1 * -0.8645432995509674) + 3.6081283316501955))"
21,1.906469553973375e-5,"(((x1 * -0.9398037940144689) + 3.5960447605448027) * (sin(x0) - (x0 / 2.4449739230991745))) + ((x1 + (-0.09461717980834237 / x0)) / cube(-1.7346068839109117))"
22,1.365145600330616e-5,"(((-0.08442015059478766 / x0) + x1) / (-4.641272629849512 + x0)) + ((sin(x0) - (x0 / 2.4293887780404773)) * (3.601464266035909 + (x1 * -0.7500676246056062)))"
23,8.96651634571896e-6,"(((-0.09274212455405205 / x0) + x1) / (-4.052311963788566 - cos(x1))) + ((sin(x0) - (x0 / 2.434061967210896)) * ((-0.8659969540683752 * x1) + 3.599402080933072))"
25,8.333482790223115e-6,"(((-0.0952498353963442 / x0) + x1) / ((-4.608993654536795 - -0.32240337809419556) - cos(x1))) + ((sin(x0) - (x0 / 2.4377342053402256)) * ((x1 * -0.895369384203619) + 3.5958049792372346))"
26,7.415008547595336e-6,"((sin(x0) - (x0 / 2.427797181731918)) * (3.608397692422342 + (x1 * -0.8408465872397967))) + (((-0.08872189533517133 / x0) + sin(x1)) / ((-4.054974207761288 + x1) - cos(x1)))"
27,6.059796668243801e-6,"((x1 + (-0.08913435872204235 / x0)) / ((x0 + -3.9711679851173503) - cos(x1))) + ((sin(x0) - (x0 / 2.524467522208933)) * ((-0.714359199166663 * x1) + (0.9717771816001965 + 2.5069836084663137)))"
29,5.751752345230403e-6,"(((0.03871347703768581 + x1) + (-0.0951260084999827 / x0)) / ((x0 + -4.051252743347482) - cos(x1))) + (((2.5159923995243143 + 0.9854884360381091) + (-0.7262973954870658 * x1)) * (sin(x0) - (x0 / 2.5225308592317277)))"
