Complexity,Loss,Equation
1,0.02729803033354796,"-0.760492924855837"
4,0.0006974095058626473,"0.06357649988413089 - cos(x0)"
6,0.00037922355602358756,"-0.9584973392424407 * cos(x0 * -1.0891518576115853)"
7,0.00030572100139323775,"(1.5854278601564469 * cos(cos(x0))) + -1.8255689559099897"
8,0.0003050952096920317,"-0.5558097592766147 + (cos(-1.7967668838741286 * x0) * -0.41256819400796)"
10,5.4242548173044e-5,"cos(x0 - 3.404162037607084) * (0.9954140495413798 - (x0 * 0.34040094060841203))"
11,5.2210129492280956e-5,"cos(x0 - 3.4040799182864605) * (0.9954762768453705 - sin(0.34412032168382123 * x0))"
12,1.952700768417336e-5,"(cos(7.2947682410873105 - x0) * (-0.3031563964406421 - (-0.6147202607869042 * x0))) + -0.803733378421671"
14,3.989920961372088e-6,"((-0.9112183687194038 * x0) - (0.9704237410496206 - sin(x0))) * cube(cos(0.674221701353703 * x0))"
16,2.087558545408101e-6,"sin(sin(x0) - 0.6421050585441366) + (cos(1.1377958048029206 - x0) * (-0.8822874212591376 - (x0 * -0.18275871154324322)))"
17,5.622773488586108e-7,"(0.03043744094698346 - cos(1.492732549201697 * x0)) + ((-0.14237216955703055 + sin(x0)) / (0.5476197638268561 + (-2.084086240759997 / x0)))"
18,5.616336967256327e-7,"(0.030424066832677635 - cos(1.4936169529752596 * x0)) + ((-0.1420141119252388 + sin(x0)) / ((-2.079279935518566 / x0) + sin(0.5764188708184591)))"
21,5.082535164839695e-7,"(((3.863582053875008e-5 / x0) - -0.030420394643500732) - cos(x0 * 1.492623987771981)) + ((-0.14182132411775988 + sin(x0)) / (0.546575021730539 + (-2.08490754019418 / x0)))"
22,5.082452384296812e-7,"(((3.8570008715223955e-5 / x0) - sin(-0.030426817049364997)) - cos(x0 * 1.4926316447056036)) + ((sin(x0) + -0.14181741185339236) / (0.5465632056426957 + (-2.0848705843805044 / x0)))"
25,1.4160489625098867e-7,"((sin(x0) * -0.1777495964607701) * (square(x0) * (x0 + 0.7398917471522323))) - (((x0 * -0.07067546994730696) + 0.9698374114043986) + ((x0 + x0) * (-0.3291277086169895 * x0)))"
27,1.4160455633326795e-7,"(((-0.17774690132947832 / x0) * sin(x0)) * ((x0 + 0.7398796526363833) * cube(x0))) - (((x0 + x0) * (-0.3291266129963907 * x0)) + (0.969837056416616 + (x0 * -0.0706730894139511)))"
28,1.4160115870179791e-7,"(((-0.08888691094714042 * x0) * sin(x0)) * ((x0 + x0) * (x0 + 0.7397371852803182))) - (((x0 * -0.3291370851861379) * (x0 + x0)) + (0.9698390880130227 + (-0.07066974447830607 * x0)))"
